entity,type,url
Greece,GPE,https://en.wikipedia.org/wiki/Olympic_Games
France,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Lausanne,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Switzerland,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Kirsty Coventry,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Olympia,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Pierre de Coubertin,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
the International Olympic Committee,ORG,https://en.wikipedia.org/wiki/Olympic_Games
IOC,ORG,https://en.wikipedia.org/wiki/Olympic_Games
Athens,GPE,https://en.wikipedia.org/wiki/Olympic_Games
the Olympic Movement,ORG,https://en.wikipedia.org/wiki/Olympic_Games
Coubertin,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
The Olympic Movement,ORG,https://en.wikipedia.org/wiki/Olympic_Games
National Olympic Committees,ORG,https://en.wikipedia.org/wiki/Olympic_Games
NOCs,ORG,https://en.wikipedia.org/wiki/Olympic_Games
Zeus,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Elis,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Macedonia,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Rome,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Heracles,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Ladas,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Coroebus,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Phidias,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Pelops,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Oenomaus,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Finley,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Theodosius I,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Theodosius II,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Chipping Campden,GPE,https://en.wikipedia.org/wiki/Olympic_Games
England,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Robert Dover,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
The British Olympic Association,ORG,https://en.wikipedia.org/wiki/Olympic_Games
London,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Britain,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Ramlösa,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Sweden,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Stockholm,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Gustaf Johan Schartau,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
an Olympian Class,ORG,https://en.wikipedia.org/wiki/Olympic_Games
William Penny Brookes,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Shropshire,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Brookes,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
The Wenlock Olympian Society,ORG,https://en.wikipedia.org/wiki/Olympic_Games
Liverpool,GPE,https://en.wikipedia.org/wiki/Olympic_Games
John Hulley,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Charles Pierre Melly,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Hulley,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
E. G. Ravenstein,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
the National Olympian Association,ORG,https://en.wikipedia.org/wiki/Olympic_Games
the British Olympic Association,ORG,https://en.wikipedia.org/wiki/Olympic_Games
Great Britain,GPE,https://en.wikipedia.org/wiki/Olympic_Games
the Ottoman Empire,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Panagiotis Soutsos,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Evangelos Zappas,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Otto,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Zappas,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
the Wenlock Olympian Society,ORG,https://en.wikipedia.org/wiki/Olympic_Games
International Olympic Committee,ORG,https://en.wikipedia.org/wiki/Olympic_Games
the University of Paris,ORG,https://en.wikipedia.org/wiki/Olympic_Games
Demetrius Vikelas,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Konstantinos Zappas,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
George Averoff,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
St. Louis,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Chamonix,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Albertville,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Ludwig Guttmann,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Guttmann,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Seoul,GPE,https://en.wikipedia.org/wiki/Olympic_Games
The International Olympic Committee,ORG,https://en.wikipedia.org/wiki/Olympic_Games
the International Paralympic Committee,ORG,https://en.wikipedia.org/wiki/Olympic_Games
IPC,ORG,https://en.wikipedia.org/wiki/Olympic_Games
Beijing,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Vancouver,GPE,https://en.wikipedia.org/wiki/Olympic_Games
LOCOG,ORG,https://en.wikipedia.org/wiki/Olympic_Games
Lord Coe,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Jacques Rogge,PERSON,https://en.wikipedia.org/wiki/Olympic_Games
Singapore,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Innsbruck,GPE,https://en.wikipedia.org/wiki/Olympic_Games
Austria,GPE,https://en.wikipedia.org/wiki/Olympic_Games
